player;nationality;position;team;age;matches;minutes;goals;assists;xg;tm_name_match;market_value_euro;tm_position;last_update;kpi_cost_per_goal;kpi_moneyball
Mateus Iseppe;BRA;Meio-Campista;Atlético Mineiro;18;1;3;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Ismael;POR;Meio-Campista;Vitória;25;1;18;0;0;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Zé Ivaldo;BRA;Defensor;Santos;27;21;1799;1;0;1.0;N/A;0.0;N/A;N/A;0.0;0.0
Ivan;BRA;Goleiro;Internacional;27;7;585;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Leo Jacó;BRA;Atacante;Vasco da Gama;19;2;16;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Jadson;BRA;Meio-Campista;Juventude;31;35;2831;0;2;1.0;N/A;0.0;N/A;N/A;0.0;0.0
Jair;BRA;Meio-Campista;Vasco da Gama;30;11;559;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Jamerson;BRA;Defensor;Vitória;26;12;1026;0;2;0.4;N/A;0.0;N/A;N/A;0.0;0.0
Janderson;BRA;Atacante;Vitória;25;11;729;1;0;0.7;N/A;0.0;N/A;N/A;0.0;0.0
Jandrei;BRA;Goleiro;Juventude;31;19;1710;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Jardiel;BRA;Atacante;Grêmio;19;5;41;0;0;0.3;N/A;0.0;N/A;N/A;0.0;0.0
Léo Jardim;BRA;Goleiro;Vasco da Gama;29;36;3235;0;0;0.0;Léo Jardim;7000000.0;Goleiro;10/12/2025;0.0;0.0
Jeffinho;BRA;Atacante;Botafogo (RJ);25;17;685;2;4;1.2;N/A;0.0;N/A;N/A;0.0;0.0
Jefinho;BRA;Meio-Campista;Sport Recife;18;1;23;0;0;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Jefté;BRA;Defensor;Palmeiras;21;12;765;0;3;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Jemerson;BRA;Defensor;Grêmio;32;9;770;1;0;0.9;N/A;0.0;N/A;N/A;0.0;0.0
Jemmes;BRA;Defensor;Mirassol;24;37;3273;2;0;2.2;N/A;0.0;N/A;N/A;0.0;0.0
Caíque de Jesus Gonçalves;BRA;Meio-Campista;Juventude;29;28;2049;0;1;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Igor Jesus;BRA;Atacante;Botafogo (RJ);23;10;875;3;1;2.6;N/A;0.0;N/A;N/A;0.0;0.0
Maykon Jesus;BRA;Defensor;Vitória;19;9;766;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Jhon Jhon;BRA;Meio-Campista;RB Bragantino;22;34;2844;10;7;6.9;Jhon Jhon;11000000.0;Meia Ofensivo;10/12/2025;1100000.0;21.73
John;BRA;Goleiro;Botafogo (RJ);28;17;1530;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Felipe Jonatan;BRA;Defensor;Mirassol;26;7;440;0;1;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Jonathan;BRA;Defensor;Cruzeiro;20;13;798;0;1;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Kaio Jorge;BRA;Atacante;Cruzeiro;23;33;2588;21;8;17.5;Kaio Jorge;22000000.0;Centroavante;10/12/2025;1047619.05;21.14
Jorginho;ITA;Meio-Campista;Flamengo;33;18;1357;3;1;2.9;Jorginho;5000000.0;Volante;10/12/2025;1666666.67;13.8
José;BRA;Defensor;Cruzeiro;19;1;1;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Willian José;BRA;Atacante;Bahia;33;33;2115;11;6;10.6;N/A;0.0;N/A;N/A;0.0;0.0
Joshua;BRA;Meio-Campista;Flamengo;17;1;28;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Luciano Juba;BRA;Defensor;Bahia;25;35;2877;6;4;2.7;Luciano Juba;11000000.0;Lateral Esq.;10/12/2025;1833333.33;11.55
Juninho;BRA;Defensor;Internacional;29;20;1505;0;0;1.1;N/A;0.0;N/A;N/A;0.0;0.0
Juninho;BRA;Atacante;Flamengo;28;15;378;1;0;2.5;N/A;0.0;N/A;N/A;0.0;0.0
Kauê Junior;BRA;Atacante;Bahia;15;1;4;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Robinho Junior;BRA;Atacante;Santos;17;15;352;0;1;1.0;Robinho Junior;5000000.0;Ponta Esquerda;10/12/2025;0.0;4.0
Wanderson Junior;BRA;Defensor;Flamengo;17;1;22;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
José Kadir;PAN;Atacante;Botafogo (RJ);17;6;174;2;0;0.6;N/A;0.0;N/A;N/A;0.0;0.0
Kaiki;BRA;Defensor;Cruzeiro;21;34;2993;1;5;3.4;Kaiki;10000000.0;Lateral Esq.;10/12/2025;10000000.0;9.4
Lucas Kal;BRA;Meio-Campista;Sport Recife;28;13;861;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Walter Kannemann;ARG;Defensor;Grêmio;33;20;1723;0;0;0.4;N/A;0.0;N/A;N/A;0.0;0.0
Kanu;BRA;Defensor;Bahia;27;7;513;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Kauê;BRA;Goleiro;Corinthians;20;1;90;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Kayke;BRA;Atacante;Fortaleza;18;2;31;0;0;0.2;Kayky;6000000.0;Ponta Direita;10/12/2025;0.0;0.33
Kayke;BRA;Atacante;Corinthians;20;8;358;0;1;0.4;Kayky;6000000.0;Ponta Direita;10/12/2025;0.0;2.33
Renato Kayser;BRA;Atacante;Vitória;28;30;2083;9;0;8.2;N/A;0.0;N/A;N/A;0.0;0.0
Kenji;BRA;Atacante;Cruzeiro;19;3;39;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
John Kennedy;BRA;Atacante;Fluminense;22;17;626;2;1;2.2;John Kennedy;6000000.0;Centroavante;10/12/2025;3000000.0;8.67
Keno;BRA;Atacante;Fluminense;35;18;509;1;2;1.3;N/A;0.0;N/A;N/A;0.0;0.0
Kevyson;BRA;Defensor;Santos;20;1;16;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Kevyson;BRA;Defensor;Sport Recife;20;9;268;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Khellven;BRA;Defensor;Palmeiras;23;13;975;0;2;0.1;Khellven;6000000.0;Lateral Dir.;10/12/2025;0.0;3.5
Gabriel Knesowitsch;BRA;Defensor;Mirassol;21;4;360;0;0;0.5;N/A;0.0;N/A;N/A;0.0;0.0
Benjamín Kuscevic;CHI;Defensor;Fortaleza;28;20;1707;1;0;1.3;N/A;0.0;N/A;N/A;0.0;0.0
