player;nationality;position;team;age;matches;minutes;goals;assists;xg;tm_name_match;market_value_euro;tm_position;last_update;kpi_cost_per_goal;kpi_moneyball
Lyanco;BRA;Defensor;Atlético Mineiro;27;17;1410;0;0;0.6;N/A;0.0;N/A;N/A;0.0;0.0
Everton Maceió;BRA;Atacante;Mirassol;21;6;147;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Willian Machado;BRA;Defensor;Ceará;28;36;3219;0;1;0.8;N/A;0.0;N/A;N/A;0.0;0.0
Talles Magno;BRA;Atacante;Corinthians;22;24;961;1;1;5.4;N/A;0.0;N/A;N/A;0.0;0.0
Magrão;BRA;Goleiro;Fortaleza;24;3;270;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Gustavo Maia;BRA;Atacante;Sport Recife;24;1;17;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Pablo Maia;BRA;Meio-Campista;São Paulo;23;25;1471;1;0;0.4;Pablo Maia;7000000.0;Volante;10/12/2025;7000000.0;2.0
Thiago Maia;BRA;Meio-Campista;Internacional;27;31;1980;2;1;1.5;N/A;0.0;N/A;N/A;0.0;0.0
Maik;BRA;Defensor;São Paulo;20;9;607;2;2;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Léo Mana;BRA;Defensor;Corinthians;20;4;225;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Gustavo Mancha;BRA;Defensor;Fortaleza;20;13;1029;0;0;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Eros Mancuso;ARG;Defensor;Fortaleza;25;30;2377;1;3;2.1;N/A;0.0;N/A;N/A;0.0;0.0
Luis Mandaca;BRA;Meio-Campista;Juventude;23;32;2445;2;1;3.3;N/A;0.0;N/A;N/A;0.0;0.0
Manoel;BRA;Defensor;Fluminense;34;5;345;0;0;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Elias Manoel;BRA;Meio-Campista;Botafogo (RJ);23;2;27;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
José Manuel López;ARG;Atacante;Palmeiras;24;33;1999;12;2;12.1;José Manuel López;20000000.0;Centroavante;10/12/2025;1666666.67;13.05
Fernando Marçal;BRA;Defensor;Botafogo (RJ);35;15;1009;5;0;1.3;N/A;0.0;N/A;N/A;0.0;0.0
Marcão;BRA;Goleiro;Juventude;32;6;495;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
João Marcelo;BRA;Defensor;Cruzeiro;24;4;226;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
João Marcelo;BRA;Atacante;Atlético Mineiro;19;7;68;1;1;0.6;N/A;0.0;N/A;N/A;0.0;0.0
Zé Marcos;BRA;Defensor;Vitória;26;28;2426;1;1;2.3;N/A;0.0;N/A;N/A;0.0;0.0
Marinho;BRA;Atacante;Fortaleza;34;17;710;1;2;2.4;N/A;0.0;N/A;N/A;0.0;0.0
Marlon;BRA;Defensor;Cruzeiro;27;1;6;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Marlon;BRA;Meio-Campista;Juventude;20;1;8;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Marlon;BRA;Defensor;Grêmio;27;31;2765;1;2;1.3;N/A;0.0;N/A;N/A;0.0;0.0
Gustavo Marques;BRA;Defensor;RB Bragantino;23;14;900;1;0;0.8;N/A;0.0;N/A;N/A;0.0;0.0
Igor Marques;BRA;Defensor;Juventude;26;19;1424;2;2;0.5;N/A;0.0;N/A;N/A;0.0;0.0
Lucca Marques;BRA;Defensor;São Paulo;17;8;318;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Renato Marques;BRA;Atacante;Mirassol;21;7;261;1;0;1.2;N/A;0.0;N/A;N/A;0.0;0.0
Marquinhos;BRA;Atacante;Cruzeiro;21;17;384;0;0;0.5;N/A;0.0;N/A;N/A;0.0;0.0
Marquinhos;BRA;Meio-Campista;Botafogo (RJ);17;1;2;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Juan Martín Lucero;ARG;Atacante;Fortaleza;33;27;1409;3;1;5.1;N/A;0.0;N/A;N/A;0.0;0.0
Martinelli;BRA;Meio-Campista;Fluminense;23;33;2721;3;2;2.3;Martinelli;14000000.0;Volante;10/12/2025;4666666.67;5.21
Alejandro Martínez;ARG;Atacante;Ceará;27;2;49;0;1;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Emiliano Martínez;URU;Meio-Campista;Palmeiras;25;25;1516;1;0;0.8;Emiliano Martínez;9000000.0;Volante;10/12/2025;9000000.0;2.0
Adriano Martins;BRA;Defensor;Juventude;27;5;360;0;0;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Andre Martins;BRA;Atacante;Grêmio;23;25;793;5;2;4.0;N/A;0.0;N/A;N/A;0.0;0.0
Matheus Martins;BRA;Atacante;Botafogo (RJ);21;15;654;1;0;1.5;Matheus Martins;6000000.0;Ponta Esquerda;10/12/2025;6000000.0;4.17
Gustavo Martins Santos;BRA;Defensor;Grêmio;22;19;1320;2;0;1.4;N/A;0.0;N/A;N/A;0.0;0.0
Gonzalo Mastriani;URU;Atacante;Botafogo (RJ);31;12;288;1;0;1.7;N/A;0.0;N/A;N/A;0.0;0.0
Matheusinho;BRA;Meio-Campista;Vitória;27;29;1768;4;1;4.9;Matheuzinho;6000000.0;Lateral Dir.;10/12/2025;1500000.0;16.5
Matheusinho;BRA;Atacante;Sport Recife;26;25;1653;2;2;2.7;Matheuzinho;6000000.0;Lateral Dir.;10/12/2025;3000000.0;11.17
Matheuzinho;BRA;Defensor;Corinthians;24;31;2632;2;3;1.2;Matheuzinho;6000000.0;Lateral Dir.;10/12/2025;3000000.0;10.33
Ricardo Mathias;BRA;Atacante;Internacional;18;22;809;5;1;4.9;N/A;0.0;N/A;N/A;0.0;0.0
Guillermo Matías Fernández;ARG;Meio-Campista;Fortaleza;33;7;286;0;2;0.4;N/A;0.0;N/A;N/A;0.0;0.0
Mauricio;BRA;Meio-Campista;Palmeiras;23;29;1598;3;7;4.1;Mauricio;12000000.0;Meia Ofensivo;10/12/2025;4000000.0;11.75
Maycon;BRA;Meio-Campista;Corinthians;27;25;1491;3;0;1.5;N/A;0.0;N/A;N/A;0.0;0.0
Mayke;BRA;Defensor;Santos;32;12;821;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Mayke;BRA;Defensor;Palmeiras;32;3;211;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Luca Meirelles;BRA;Atacante;Santos;17;7;89;0;0;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Arthur Melo;BRA;Meio-Campista;Grêmio;28;13;1082;0;0;0.7;N/A;0.0;N/A;N/A;0.0;0.0
Memphis;NED;Atacante;Corinthians;30;23;1544;6;3;6.5;N/A;0.0;N/A;N/A;0.0;0.0
Nathan Mendes;BRA;Defensor;RB Bragantino;22;19;1158;0;1;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Thiago Mendes;BRA;Meio-Campista;Vasco da Gama;32;8;300;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Vinicius Mendonça;BRA;Atacante;RB Bragantino;20;23;1039;0;3;0.9;N/A;0.0;N/A;N/A;0.0;0.0
