player;nationality;position;team;age;matches;minutes;goals;assists;xg
Gabriel Chapecó;BRA;Goleiro;Grêmio;24;6;540;0;0;0.0
Chico;BRA;Meio-Campista;Mirassol;33;13;349;1;1;0.4
Chico;BRA;Defensor;Sport Recife;26;13;1060;0;0;0.5
Christian;BRA;Atacante;Cruzeiro;24;30;2357;5;2;5.8
Cipriano;BRA;Defensor;Juventude;22;3;189;0;0;0.0
Claudinho;BRA;Defensor;Vitória;24;15;901;0;0;0.5
Clayson;BRA;Atacante;Mirassol;29;6;256;0;1;0.1
Clayton;BRA;Defensor;Internacional;24;11;762;0;0;0.3
Cleiton;BRA;Defensor;Flamengo;21;2;79;0;0;0.0
Mateus Cocão;BRA;Meio-Campista;Vasco da Gama;22;19;593;0;0;0.2
Igor Coronado;BRA;Meio-Campista;Corinthians;32;6;342;1;0;0.8
Joaquín Correa;ARG;Meio-Campista;Botafogo (RJ);30;18;898;2;0;2.5
Francisco da Costa;BRA;Atacante;Mirassol;29;20;1190;6;0;4.5
Philippe Coutinho;BRA;Meio-Campista;Vasco da Gama;32;30;2403;5;3;4.1
Lucas Crispim;BRA;Meio-Campista;Fortaleza;30;10;424;1;1;0.7
Franco Cristaldo;ARG;Meio-Campista;Grêmio;28;30;1259;1;3;2.2
Gustavo Cuellar;COL;Meio-Campista;Grêmio;32;17;881;0;0;0.2
Tomás Cuello;ARG;Atacante;Atlético Mineiro;24;16;1203;1;1;2.4
Carlos Cuesta;COL;Defensor;Vasco da Gama;25;13;1092;1;0;0.8
Cuiabano;BRA;Defensor;Botafogo (RJ);21;30;1534;5;2;3.2
Jair Cunha;BRA;Defensor;Botafogo (RJ);19;11;990;0;1;0.5
Lucas Cunha;BRA;Defensor;Sport Recife;28;6;428;0;0;0.0
Danielzinho;BRA;Meio-Campista;Mirassol;30;37;3265;0;2;1.9
Danilo;BRA;Meio-Campista;Botafogo (RJ);23;13;827;1;3;0.7
Danilo;BRA;Defensor;Flamengo;33;20;1410;1;1;1.2
David;BRA;Atacante;Vasco da Gama;29;24;750;2;3;1.3
Matheus Davó;BRA;Atacante;Mirassol;25;2;35;0;1;0.3
Giorgian De Arrascaeta;URU;Meio-Campista;Flamengo;30;33;2350;18;14;9.8
Nicolás De La Cruz;URU;Meio-Campista;Flamengo;27;19;1018;0;0;0.7
Gabriel Delfim;BRA;Goleiro;Atlético Mineiro;22;2;180;0;0;0.0
Deyverson;BRA;Atacante;Fortaleza;33;27;1174;7;0;5.9
Enzo Díaz;ARG;Defensor;São Paulo;29;27;1877;0;5;0.4
Lautaro Díaz;ARG;Atacante;Cruzeiro;26;6;85;0;0;0.0
Lautaro Díaz;ARG;Atacante;Santos;26;15;1020;3;2;3.3
Dieguinho Diego;BRA;Meio-Campista;Ceará;29;32;2653;0;2;0.5
Dieguinho;BRA;Atacante;Corinthians;17;13;451;0;1;0.7
Diogenes;BRA;Goleiro;Santos;24;1;23;0;0;0.0
Dodi;BRA;Meio-Campista;Grêmio;28;32;2343;0;1;0.6
Fabricio Domínguez;URU;Meio-Campista;Sport Recife;26;4;100;0;0;0.1
Matheus Donelli;BRA;Goleiro;Corinthians;22;5;450;0;0;0.0
Mailton dos Santos;BRA;Defensor;São Paulo;26;8;388;0;0;0.1
Thiago dos Santos;BRA;Meio-Campista;Fluminense;35;10;287;0;0;0.1
Alexis Duarte;PAR;Defensor;Santos;24;5;405;0;0;0.1
David Duarte;BRA;Defensor;Bahia;30;25;2207;1;1;1.7
Dudu;BRA;Atacante;Cruzeiro;33;5;215;1;0;0.6
Dudu;BRA;Meio-Campista;Vitória;25;12;319;0;0;1.5
Dudu;BRA;Meio-Campista;Atlético Mineiro;33;18;1048;3;2;1.7
Edenílson;BRA;Meio-Campista;Grêmio;35;31;1802;3;2;4.2
Eder;BRA;Defensor;Ceará;29;3;270;0;0;0.3
EDU;BRA;Defensor;Vitória;24;20;1074;0;0;0.2
Carlos Eduardo;BRA;Meio-Campista;Cruzeiro;35;29;906;1;0;0.8
Carlos Eduardo;BRA;Atacante;Mirassol;28;24;734;2;5;3.8
Carlos Eduardo;BRA;Atacante;Vitória;28;2;41;0;0;0.0
Alysson Edward;BRA;Atacante;Grêmio;18;31;1718;1;2;3.0
Rodrigo Ely;BRA;Defensor;Grêmio;31;2;40;0;0;0.0
Emerson;BRA;Defensor;Flamengo;26;15;1247;1;1;0.6
Leandro Emmanuel Martínez;ARG;Meio-Campista;Fortaleza;30;14;741;1;1;0.4
Ênio;BRA;Meio-Campista;Juventude;23;26;1108;3;0;2.7
Erick;BRA;Meio-Campista;Bahia;27;16;683;1;0;2.0
Erick;BRA;Meio-Campista;Vitória;27;31;2054;3;5;2.1
Gonzalo Escobar;ARG;Defensor;Santos;27;30;2008;0;0;0.5
Lucas Esteves;BRA;Defensor;Grêmio;24;10;671;0;0;0.1
